position_group,feature,importance
lb,speed_range,0.7990307211875916
ol,speed_std,0.2829878032207489
ol,athleticism_index,0.27287429571151733
skill,weight,0.26682138442993164
dl,speed_cv,0.23669059574604034
dl,direction_changes,0.22678789496421814
db,direction_changes,0.22373011708259583
lb,mean_speed,0.20096930861473083
dl,speed_std,0.19575130939483643
db,bench_reps_of_225,0.179581880569458
ol,explosion_index,0.161261647939682
db,tackles_per_season,0.146033376455307
ol,standing_broad_jump,0.1430971622467041
ol,forty_yd_dash,0.13977909088134766
db,burst_score,0.130140483379364
skill,size_speed_score,0.12763211131095886
dl,mean_speed,0.11842512339353561
skill,wingspan,0.11841961741447449
dl,p75_speed,0.11480651795864105
skill,standing_vertical,0.11415570229291916
dl,p90_speed,0.10753855854272842
db,max_speed,0.10191963613033295
global,three_cone,0.09888939559459686
db,wingspan,0.09550335258245468
skill,p75_speed,0.09422450512647629
global,direction_changes,0.09379181265830994
skill,max_jerk,0.0930839404463768
global,standing_vertical,0.08962416648864746
skill,direction_changes,0.08314990997314453
global,athleticism_index_pos_adj,0.08224017173051834
global,bench_reps_of_225,0.0810263529419899
global,height,0.07719670236110687
global,mean_speed,0.07622633129358292
global,burst_score,0.07594532519578934
global,athleticism_index,0.07475809007883072
global,explosion_index,0.07039760053157806
db,three_cone,0.06857563555240631
global,max_speed,0.06513946503400803
global,p90_speed,0.06390330195426941
global,p75_speed,0.05086127296090126
skill,explosion_index,0.0367787666618824
db,speed_cv,0.0342312753200531
skill,standing_broad_jump,0.033286865800619125
skill,arm_length,0.03244725987315178
db,mean_speed,0.020284198224544525
skill,bench_reps_of_225,0.0
lb,height,0.0
db,agility_index,0.0
db,speed_range,0.0
ol,bench_reps_of_225,0.0
global,speed_range,0.0
global,agility_index,0.0
